,Unnamed: 0,DISTRICT_NUMBER,DISTRICT,CAMPUS_NUMBER,CAMPUS,REGION,COUNTY,SCHOOL_TYPE,GRADES_SERVED,CHARTER,URBANICITY,NUMBER_OF_STUDENTS,OVERALL_RATING,OVERALL_SCORE,%_ECONOMICALLY_DISADVANTAGED,%_EB/EL_STUDENTS,FREE_LUNCH_QUALIFIED_COUNT,REDUCED-PRICE_LUNCH_QUALIFIED_COUNT,RACE_AMERICAN_INDIAN_OR_ALASKA_NATIVE,RACE_ASIAN,RACE_BLACK_OR_AFRICAN_AMERICAN,RACE_HISPANIC/LATINO,RACE_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER,RACE_TWO_OR_MORE_RACES,RACE_WHITE,TEACHERS_COUNT,LAT,LONG,MEDIAN_HOUSEHOLD_INCOME_AREA,ST_SCHID,AVG_TEACHER_SALARY
0,0,1902,CAYUGA ISD,1902001.0,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,171,A,97,0.444,0.018,64.0,12.0,0.0,2.0,12.0,36.0,0.0,16.0,276.0,19.34,31.9569,-95.9744,72483.0,TX-001902-001902001,55570.0
1,1,1902,CAYUGA ISD,1902041.0,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,Rural,166,B,85,0.47,0.006,63.0,15.0,0.0,2.0,16.0,32.0,0.0,18.0,264.0,11.2,31.9569,-95.9744,72483.0,TX-001902-001902041,55570.0
2,2,1902,CAYUGA ISD,1902103.0,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,Rural,256,C,75,0.551,0.016,120.0,21.0,0.0,2.0,28.0,44.0,0.0,20.0,420.0,17.86,31.9569,-95.9744,72483.0,TX-001902-001902103,55570.0
3,3,1903,ELKHART ISD,1903001.0,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,315,A,92,0.47,0.013,120.0,28.0,0.0,6.0,24.0,76.0,2.0,20.0,502.0,35.72,31.6275,-95.5785,76397.0,TX-001903-001903001,47916.0
4,4,1903,ELKHART ISD,1903041.0,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,Rural,270,B,83,0.57,0.019,133.0,21.0,2.0,0.0,18.0,62.0,0.0,16.0,442.0,23.82,31.6279,-95.578,76397.0,TX-001903-001903041,47916.0
5,5,1903,ELKHART ISD,1903101.0,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,Rural,327,C,77,0.685,0.04,201.0,23.0,2.0,4.0,28.0,66.0,0.0,50.0,504.0,23.59,31.6271,-95.5786,76397.0,TX-001903-001903101,47916.0
6,6,1903,ELKHART ISD,1903102.0,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,03 - 05,No,,282,C,77,0.631,0.046,153.0,25.0,2.0,2.0,26.0,66.0,0.0,22.0,446.0,21.36,,,,TX-001903-001903102,47916.0
7,7,1904,FRANKSTON ISD,1904001.0,FRANKSTON H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,245,A,94,0.498,0.053,103.0,19.0,6.0,2.0,50.0,64.0,0.0,24.0,344.0,25.79,32.061,-95.50702,69663.0,TX-001904-001904001,50382.0
8,8,1904,FRANKSTON ISD,1904041.0,FRANKSTON MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,Rural,184,B,81,0.625,0.038,108.0,7.0,2.0,6.0,22.0,30.0,0.0,20.0,288.0,16.44,32.061,-95.50702,69663.0,TX-001904-001904041,50382.0
9,9,1904,FRANKSTON ISD,1904102.0,FRANKSTON EL,REGION 07: KILGORE,ANDERSON,Elementary,EE - 05,No,Rural,372,B,86,0.629,0.04,221.0,14.0,2.0,6.0,56.0,88.0,0.0,22.0,572.0,25.79,32.061,-95.50702,69663.0,TX-001904-001904102,50382.0
10,10,1906,NECHES ISD,1906002.0,NECHES H S,REGION 07: KILGORE,ANDERSON,High School,07 - 12,No,Rural,140,A,96,0.471,0.043,64.0,2.0,0.0,0.0,20.0,36.0,0.0,6.0,218.0,13.68,31.8666,-95.4955,67875.0,TX-001906-001906002,55347.0
11,11,1906,NECHES ISD,1906102.0,NECHES EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 06,No,Rural,169,C,70,0.639,0.006,93.0,15.0,2.0,2.0,26.0,42.0,0.0,8.0,260.0,14.4,31.8666,-95.4955,67875.0,TX-001906-001906102,55347.0
12,12,1907,PALESTINE ISD,1907001.0,PALESTINE H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,,997,B,88,0.767,0.152,725.0,41.0,2.0,12.0,422.0,900.0,0.0,72.0,588.0,84.4,,,,TX-001907-001907001,48825.0
13,13,1907,PALESTINE ISD,1907041.0,PALESTINE J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,,493,C,76,0.783,0.213,369.0,17.0,2.0,4.0,244.0,420.0,2.0,34.0,280.0,46.52,,,,TX-001907-001907041,48825.0
14,14,1907,PALESTINE ISD,1907101.0,NORTHSIDE PRI,REGION 07: KILGORE,ANDERSON,Elementary,KG - 01,No,,465,D,61,0.804,0.146,350.0,24.0,2.0,10.0,218.0,366.0,2.0,50.0,282.0,29.5,,,,TX-001907-001907101,48825.0
15,15,1907,PALESTINE ISD,1907102.0,WASHINGTON EARLY CHILDHOOD CENTER,REGION 07: KILGORE,ANDERSON,Elementary,PK - PK,No,,221,D,61,0.919,0.109,191.0,12.0,0.0,2.0,128.0,194.0,0.0,30.0,88.0,15.0,,,,TX-001907-001907102,48825.0
16,16,1907,PALESTINE ISD,1907107.0,SOUTHSIDE EL,REGION 07: KILGORE,ANDERSON,Elementary,02 - 03,No,Suburban,447,D,61,0.848,0.174,361.0,18.0,2.0,8.0,236.0,410.0,0.0,30.0,208.0,33.0,29.15135,-95.42229,,TX-001907-001907107,48825.0
17,17,1907,PALESTINE ISD,1907107.0,SOUTHSIDE EL,REGION 07: KILGORE,ANDERSON,Elementary,02 - 03,No,Rural,447,D,61,0.848,0.174,361.0,18.0,2.0,8.0,236.0,410.0,0.0,30.0,208.0,33.0,32.36643,-96.1004,,TX-001907-001907107,48825.0
18,18,1907,PALESTINE ISD,1907110.0,STORY INT,REGION 07: KILGORE,ANDERSON,Elementary,04 - 06,No,,673,D,61,0.805,0.221,511.0,31.0,4.0,8.0,368.0,556.0,2.0,40.0,368.0,43.0,,,,TX-001907-001907110,48825.0
19,19,1908,WESTWOOD ISD,1908002.0,WESTWOOD H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Suburban,438,C,79,0.692,0.098,293.0,10.0,6.0,4.0,162.0,272.0,2.0,56.0,374.0,35.77,30.45847,-97.79775,,TX-001908-001908002,44741.0
20,20,1908,WESTWOOD ISD,1908002.0,WESTWOOD H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,438,C,79,0.692,0.098,293.0,10.0,6.0,4.0,162.0,272.0,2.0,56.0,374.0,35.77,31.73115,-95.68215,,TX-001908-001908002,44741.0
21,21,1908,WESTWOOD ISD,1908041.0,WESTWOOD J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,Urban,205,B,80,0.771,0.093,152.0,6.0,4.0,0.0,102.0,96.0,0.0,18.0,190.0,18.91,32.96193,-96.77698,126250.0,TX-001908-001908041,44741.0
22,22,1908,WESTWOOD ISD,1908041.0,WESTWOOD J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,Rural,205,B,80,0.771,0.093,152.0,6.0,4.0,0.0,102.0,96.0,0.0,18.0,190.0,18.91,31.73151,-95.68237,42949.0,TX-001908-001908041,44741.0
23,23,1908,WESTWOOD ISD,1908101.0,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03 - 06,No,Suburban,408,F,52,0.74,0.071,292.0,10.0,6.0,6.0,168.0,226.0,0.0,28.0,382.0,25.63,29.52685,-95.21343,,TX-001908-001908101,44741.0
24,24,1908,WESTWOOD ISD,1908101.0,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03 - 06,No,Urban,408,F,52,0.74,0.071,292.0,10.0,6.0,6.0,168.0,226.0,0.0,28.0,382.0,25.63,29.81029,-95.55403,,TX-001908-001908101,44741.0
25,25,1908,WESTWOOD ISD,1908101.0,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03 - 06,No,Rural,408,F,52,0.74,0.071,292.0,10.0,6.0,6.0,168.0,226.0,0.0,28.0,382.0,25.63,31.7493,-95.6773,,TX-001908-001908101,44741.0
26,26,1908,WESTWOOD ISD,1908102.0,WESTWOOD PRI,REGION 07: KILGORE,ANDERSON,Elementary,EE - 02,No,Rural,363,F,52,0.799,0.041,276.0,14.0,4.0,0.0,164.0,168.0,0.0,42.0,348.0,25.71,31.73185,-95.68501,42949.0,TX-001908-001908102,44741.0
