"X","DISTRICT_NUMBER","DISTRICT","CAMPUS_NUMBER","CAMPUS","REGION","COUNTY","SCHOOL_TYPE","GRADES_SERVED","CHARTER","URBANICITY","NUMBER_OF_STUDENTS","OVERALL_RATING","OVERALL_SCORE","X._ECONOMICALLY_DISADVANTAGED","X._EB.EL_STUDENTS","FREE_LUNCH_QUALIFIED_COUNT","REDUCED.PRICE_LUNCH_QUALIFIED_COUNT","RACE_AMERICAN_INDIAN_OR_ALASKA_NATIVE","RACE_ASIAN","RACE_BLACK_OR_AFRICAN_AMERICAN","RACE_HISPANIC.LATINO","RACE_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER","RACE_TWO_OR_MORE_RACES","RACE_WHITE","TEACHERS_COUNT","LAT","LONG","MEDIAN_HOUSEHOLD_INCOME_AREA","ST_SCHID"
0,1902,"CAYUGA ISD",1902001,"CAYUGA H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","Rural",171,"A","97",0.444,0.018,64,12,0,2,12,36,0,16,276,19.34,31.9569,-95.9744,72483,"TX-001902-001902001"
1,1902,"CAYUGA ISD",1902041,"CAYUGA MIDDLE","REGION 07: KILGORE","ANDERSON","Middle School","06 - 08","No","Rural",166,"B","85",0.47,0.006,63,15,0,2,16,32,0,18,264,11.2,31.9569,-95.9744,72483,"TX-001902-001902041"
2,1902,"CAYUGA ISD",1902103,"CAYUGA EL","REGION 07: KILGORE","ANDERSON","Elementary","PK - 05","No","Rural",256,"C","75",0.551,0.016,120,21,0,2,28,44,0,20,420,17.86,31.9569,-95.9744,72483,"TX-001902-001902103"
3,1903,"ELKHART ISD",1903001,"ELKHART H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","Rural",315,"A","92",0.47,0.013,120,28,0,6,24,76,2,20,502,35.72,31.6275,-95.5785,76397,"TX-001903-001903001"
4,1903,"ELKHART ISD",1903041,"ELKHART MIDDLE","REGION 07: KILGORE","ANDERSON","Middle School","06 - 08","No","Rural",270,"B","83",0.57,0.019,133,21,2,0,18,62,0,16,442,23.82,31.6279,-95.578,76397,"TX-001903-001903041"
5,1903,"ELKHART ISD",1903101,"ELKHART EL","REGION 07: KILGORE","ANDERSON","Elementary","PK - 02","No","Rural",327,"C","77",0.685,0.04,201,23,2,4,28,66,0,50,504,23.59,31.6271,-95.5786,76397,"TX-001903-001903101"
6,1903,"ELKHART ISD",1903102,"ELKHART INT","REGION 07: KILGORE","ANDERSON","Elementary","03 - 05","No","",282,"C","77",0.631,0.046,153,25,2,2,26,66,0,22,446,21.36,NA,NA,NA,"TX-001903-001903102"
7,1904,"FRANKSTON ISD",1904001,"FRANKSTON H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","Rural",245,"A","94",0.498,0.053,103,19,6,2,50,64,0,24,344,25.79,32.061,-95.50702,69663,"TX-001904-001904001"
8,1904,"FRANKSTON ISD",1904041,"FRANKSTON MIDDLE","REGION 07: KILGORE","ANDERSON","Middle School","06 - 08","No","Rural",184,"B","81",0.625,0.038,108,7,2,6,22,30,0,20,288,16.44,32.061,-95.50702,69663,"TX-001904-001904041"
9,1904,"FRANKSTON ISD",1904102,"FRANKSTON EL","REGION 07: KILGORE","ANDERSON","Elementary","EE - 05","No","Rural",372,"B","86",0.629,0.04,221,14,2,6,56,88,0,22,572,25.79,32.061,-95.50702,69663,"TX-001904-001904102"
10,1906,"NECHES ISD",1906002,"NECHES H S","REGION 07: KILGORE","ANDERSON","High School","07 - 12","No","Rural",140,"A","96",0.471,0.043,64,2,0,0,20,36,0,6,218,13.68,31.8666,-95.4955,67875,"TX-001906-001906002"
11,1906,"NECHES ISD",1906102,"NECHES EL","REGION 07: KILGORE","ANDERSON","Elementary","PK - 06","No","Rural",169,"C","70",0.639,0.006,93,15,2,2,26,42,0,8,260,14.4,31.8666,-95.4955,67875,"TX-001906-001906102"
12,1907,"PALESTINE ISD",1907001,"PALESTINE H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","",997,"B","88",0.767,0.152,725,41,2,12,422,900,0,72,588,84.4,NA,NA,NA,"TX-001907-001907001"
13,1907,"PALESTINE ISD",1907041,"PALESTINE J H","REGION 07: KILGORE","ANDERSON","Middle School","07 - 08","No","",493,"C","76",0.783,0.213,369,17,2,4,244,420,2,34,280,46.52,NA,NA,NA,"TX-001907-001907041"
14,1907,"PALESTINE ISD",1907101,"NORTHSIDE PRI","REGION 07: KILGORE","ANDERSON","Elementary","KG - 01","No","",465,"D","61",0.804,0.146,350,24,2,10,218,366,2,50,282,29.5,NA,NA,NA,"TX-001907-001907101"
15,1907,"PALESTINE ISD",1907102,"WASHINGTON EARLY CHILDHOOD CENTER","REGION 07: KILGORE","ANDERSON","Elementary","PK - PK","No","",221,"D","61",0.919,0.109,191,12,0,2,128,194,0,30,88,15,NA,NA,NA,"TX-001907-001907102"
16,1907,"PALESTINE ISD",1907107,"SOUTHSIDE EL","REGION 07: KILGORE","ANDERSON","Elementary","02 - 03","No","Suburban",447,"D","61",0.848,0.174,361,18,2,8,236,410,0,30,208,33,29.15135,-95.42229,NA,"TX-001907-001907107"
